user_id,product_id,timestamp,event_type,event_w,days_ago,decay_w,combined_w
1,40396,2025-10-26 04:31:58,purchase,3.0,135,0.21022410381342865,0.6306723114402859
1,41141,2025-10-26 04:57:16,purchase,3.0,135,0.21022410381342865,0.6306723114402859
1,41026,2025-11-03 00:59:56,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40294,2025-11-03 01:09:07,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40784,2025-11-03 01:13:14,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,41239,2025-11-03 01:19:02,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40362,2025-11-03 01:19:28,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40469,2025-11-03 01:19:57,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40857,2025-11-03 01:20:41,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40867,2025-11-03 01:21:19,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40279,2025-11-03 01:21:19,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40318,2025-11-03 01:21:19,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40106,2025-11-03 01:21:19,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,41050,2025-11-03 01:21:54,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,41251,2025-11-03 01:21:54,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,41226,2025-11-03 01:29:37,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40790,2025-11-03 01:30:39,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40564,2025-11-03 01:30:58,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40032,2025-11-03 01:30:58,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40461,2025-11-03 01:31:18,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,41226,2025-11-03 01:31:18,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40096,2025-11-03 01:32:25,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40862,2025-11-03 01:32:25,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40294,2025-11-03 01:33:35,purchase,3.0,127,0.23057904839648485,0.6917371451894545
1,40381,2025-11-03 01:33:35,purchase,3.0,127,0.23057904839648485,0.6917371451894545
